session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,user_rating,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,language,country_of_origin,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
session_000001,user_07271,movie_0511,2025-11-13,Tablet,63.9,34.6,completed,HD,USA,False,G,andrew15@example.com,Donna,Mathews,17.0,Female,USA,Virginia,Lake Ryan,Basic,2024-09-18,True,25.33,Tablet,3.0,2025-06-09 13:58:10.550430,Dragon Princess,Movie,Music,,2018,92.0,Spanish,South Korea,1893934.0,1115568.0,,,False,2022-06-04,False
session_000011,user_01686,movie_0903,2025-05-17,Smart TV,50.4,62.1,started,HD,USA,False,TV-14,nlogan@example.org,Aaron,Walker,33.0,Male,USA,Illinois,East Glennchester,Premium,2025-03-08,False,12.81,Desktop,1.0,2025-03-29 04:35:58.672684,Secret Battle,Stand-up Comedy,Animation,,2024,63.0,German,USA,,,,,False,2023-08-30,False
session_000012,user_00770,movie_0427,2025-08-09,Desktop,34.7,69.7,started,HD,USA,False,PG-13,robertsmith@example.com,Matthew,Sutton,32.0,Male,Canada,British Columbia,New Davidport,Premium+,2024-10-04,True,25.01,Gaming Console,2.0,2023-09-12 00:18:48.884655,A King,Movie,Western,,2023,59.0,English,South Korea,20316482.0,209532686.0,,,False,2024-02-15,False
session_000015,user_05312,movie_0861,2025-10-17,Tablet,59.9,30.7,paused,4K,USA,False,5.0,jasonrobinson@example.org,Jonathan,Chen,26.0,Female,USA,Tennessee,Henrystad,Premium,2025-02-19,False,38.81,Desktop,5.0,2025-02-15 14:19:46.630951,Night Journey,Documentary,Western,History,2022,50.0,Italian,USA,,,,,True,2024-06-16,False
session_000016,user_05052,movie_0418,2024-12-09,Laptop,31.0,65.2,started,HD,USA,True,TV-14,wortiz@example.org,Kenneth,Simpson,32.0,Female,USA,Maryland,Jasonbury,Premium,2024-01-09,True,13.4,Smart TV,1.0,2023-03-09 14:53:08.437220,Big Story,Movie,Western,,2020,146.0,English,UK,2059746.0,,,,False,2020-10-15,False
session_000017,user_06421,movie_0135,2025-11-02,Smart TV,39.3,37.9,started,4K,Canada,True,TV-G,kyle66@example.org,Zachary,Rodriguez,58.0,Male,USA,Florida,Churchburgh,Standard,2023-05-12,True,11.43,Desktop,4.0,2025-05-05 20:19:17.201206,Princess House,Movie,Western,,2016,73.0,Japanese,USA,,196392638.0,,,False,2023-08-10,False
session_000020,user_03386,movie_0312,2025-11-05,Tablet,53.0,5.5,paused,HD,USA,False,PG,nelsonkimberly@example.org,Susan,Willis,37.0,Male,USA,Massachusetts,South Jeremy,Premium,2024-11-17,True,5.89,Mobile,6.0,2025-03-21 07:13:28.545444,King Legend,TV Series,Romance,,2019,64.0,English,UK,,,,192.0,True,2022-11-24,True
session_000024,user_02559,movie_0285,2024-11-16,Laptop,74.6,9.3,started,HD,USA,False,PG,michelle57@example.com,Diane,Rivera,50.0,Male,USA,Arizona,Porterside,Premium,2023-11-10,True,10.99,Laptop,3.0,2022-08-04 15:27:34.429914,Dragon Dragon,Documentary,Horror,,2024,85.0,English,South Korea,,,,,False,2023-10-13,False
session_000025,user_07850,movie_0675,2024-10-30,Desktop,54.7,54.3,started,SD,USA,False,NC-17,agonzalez@example.org,Taylor,Green,47.0,Female,USA,California,Hayesport,Premium,2024-06-27,True,39.79,Smart TV,2.0,2023-05-08 20:32:51.350601,Phoenix Princess,TV Series,Action,,2019,76.0,German,USA,,,,73.0,True,2021-08-11,True
session_000026,user_02048,movie_0037,2025-11-09,Mobile,30.1,37.7,paused,HD,Canada,False,TV-G,josephroberts@example.org,Chris,Morgan,42.0,Female,USA,Florida,Victoriamouth,Premium,2024-07-05,True,14.77,Laptop,7.0,2024-11-18 15:14:39.219197,Empire King,TV Series,Comedy,,2011,51.0,French,USA,,,5.0,23.0,False,2025-05-02,False
session_000027,user_02748,movie_0778,2025-01-22,Desktop,57.9,6.1,stopped,HD,USA,False,5.0,sara17@example.net,Jodi,Harris,48.0,Male,USA,Michigan,Port Jademouth,Premium,2024-03-23,True,4.69,Mobile,2.0,2025-01-30 16:09:41.445786,Princess House,TV Series,History,Crime,2012,61.0,English,India,,,,15.0,False,2025-07-18,False
session_000028,user_09168,movie_0709,2025-01-19,Laptop,65.2,42.6,stopped,4K,USA,False,TV-PG,larsenhaley@example.com,Victoria,Zimmerman,50.0,Male,USA,New York,North Charles,Premium,2023-11-11,False,0.83,Gaming Console,2.0,2023-05-31 05:23:21.635133,Kingdom Princess,Movie,Sci-Fi,,2011,109.0,English,UK,,250370.0,,,False,2022-10-06,False
session_000030,user_00190,movie_0114,2024-07-08,Smart TV,51.7,12.8,stopped,HD,USA,True,TV-PG,collinswilliam@example.org,Glenn,Hood,34.0,Male,Canada,Newfoundland and Labrador,South Brentstad,Basic,2023-05-29,True,18.15,Desktop,1.0,2024-02-07 13:08:30.981587,Journey King,TV Series,Animation,Mystery,2008,46.0,English,India,,,9.0,48.0,False,2022-10-24,False
session_000032,user_03006,movie_0004,2024-11-01,Smart TV,70.6,77.4,completed,SD,USA,False,NC-17,jbanks@example.net,Paige,Howard,39.0,Female,USA,New Jersey,Mcguirehaven,Premium+,2024-08-12,True,43.24,Tablet,2.0,2024-03-26 18:42:00.615639,Our Princess,Documentary,Sci-Fi,,2011,131.0,Japanese,USA,,,,,False,2022-11-26,False
session_000036,user_01268,movie_0627,2024-11-04,Desktop,38.3,41.7,completed,SD,USA,False,NC-17,gregorybrock@example.org,Brianna,Mack,18.0,Female,Canada,Saskatchewan,New Nathan,Standard,2024-08-21,True,13.84,Mobile,1.0,2024-06-21 13:22:43.885855,Love Legend,Movie,Western,,2018,121.0,English,Germany,2533936.0,45685991.0,,,False,2024-12-29,False
session_000039,user_03891,movie_0860,2024-04-23,Mobile,97.6,22.6,started,HD,Canada,False,TV-14,bradleymark@example.net,Tamara,Skinner,62.0,Male,USA,Illinois,Anthonystad,Premium,2025-06-01,True,21.36,Tablet,3.0,2023-04-26 09:29:02.239300,Our Love,Stand-up Comedy,Animation,,2020,40.0,English,USA,,,,,False,2021-05-06,False
session_000040,user_08839,movie_0647,2025-03-21,Mobile,13.3,46.5,started,HD,USA,False,5.0,bgolden@example.org,James,Ortiz,33.0,Female,USA,Maryland,Port Brucebury,Basic,2022-12-18,True,13.4,Gaming Console,,2024-12-02 10:23:57.089694,Story Journey,Movie,Music,,2010,159.0,French,France,12844095.0,34444993.0,,,False,2020-10-30,False
session_000042,user_08793,movie_0177,2025-07-01,Desktop,83.9,85.8,completed,4K,Canada,False,PG,pmiranda@example.com,Amanda,Jones,30.0,Female,USA,North Carolina,North Elizabeth,Standard,2023-06-26,True,11.57,Laptop,2.0,2023-08-28 05:01:39.865657,Fire Princess,Movie,Drama,,2022,99.0,Italian,USA,197326642.0,5829409.0,,,True,2024-09-21,False
session_000043,user_08434,movie_0701,2025-07-14,Laptop,19.0,89.9,completed,4K,Canada,True,NC-17,morrisonmelanie@example.com,Wayne,Ramirez,27.0,Female,Canada,Prince Edward Island,East Matthewtown,Standard,2023-12-24,True,2.26,Tablet,3.0,2024-11-12 11:26:25.708908,Adventure Mission,Limited Series,Animation,History,2012,74.0,Hindi,Canada,,,2.0,197.0,False,2024-05-08,False
session_000044,user_07514,movie_0142,2025-07-31,Tablet,31.2,73.5,completed,HD,USA,False,TV-Y7,nicholas59@example.com,Sarah,Peterson,32.0,Female,USA,North Carolina,Phillipsport,Basic,2024-05-09,False,33.05,Smart TV,1.0,2023-07-07 00:03:26.757746,Battle Secret,Limited Series,Western,,2018,71.0,English,UK,,,14.0,169.0,False,2021-02-26,True
session_000046,user_07042,movie_0664,2025-01-05,Smart TV,32.1,34.4,started,SD,USA,False,TV-G,lauriesmith@example.net,Michael,Evans,29.0,Female,Canada,Quebec,Port Lauraburgh,Standard,2025-04-25,True,13.4,Mobile,,2023-09-18 21:49:46.319738,An Princess,Movie,History,Horror,2020,107.0,English,USA,65169386.0,16858783.0,,,False,2021-08-23,False
session_000049,user_05487,movie_0031,2024-12-02,Laptop,67.6,90.2,paused,HD,Canada,False,TV-Y7,wdiaz@example.com,Christopher,Davis,30.0,Female,USA,New Jersey,South Kevinbury,Premium+,2025-03-30,True,19.14,Tablet,5.0,2024-04-10 05:01:34.708744,Warrior War,Movie,Romance,,2024,129.0,English,USA,,2057069.0,,,False,2022-06-10,False
session_000050,user_07100,movie_0763,2025-06-16,Smart TV,142.5,60.9,paused,4K,Canada,False,1.0,matthewedwards@example.net,Megan,Lopez,46.0,Male,USA,Texas,North Sara,Premium,2025-04-19,True,19.0,Mobile,4.0,2025-05-25 03:28:45.421045,My Dragon,Movie,Comedy,Family,2007,93.0,Japanese,France,958475.0,1245159.0,,,False,2023-05-22,True
session_000055,user_01586,movie_0253,2025-10-27,Laptop,25.0,34.5,paused,SD,USA,False,3.0,kellyrichard@example.net,Johnny,Bryan,44.0,Female,USA,Illinois,Brownside,Premium,2023-06-18,True,18.35,Gaming Console,4.0,2023-03-12 00:53:09.023592,City Queen,Documentary,Fantasy,,2013,99.0,Spanish,USA,,,,,True,2020-11-04,True
session_000057,user_07556,movie_0691,2025-05-07,Laptop,94.3,34.7,completed,4K,USA,False,5.0,amber04@example.net,Stephen,Pena,33.0,Female,Canada,Ontario,Justinmouth,Premium,2023-01-10,False,7.12,Gaming Console,4.0,2023-06-14 14:42:53.259214,Dream Adventure,Movie,Fantasy,,2014,106.0,English,South Korea,6586991.0,23899749.0,,,False,2025-01-05,False
session_000059,user_01022,movie_0779,2025-06-21,Tablet,10.3,20.5,paused,HD,USA,False,TV-MA,kstuart@example.net,Dawn,Duncan,16.0,Male,Canada,Ontario,New Paulmouth,Standard,2023-05-16,False,2.14,Laptop,1.0,2025-07-29 12:49:54.248193,New Family,Stand-up Comedy,Family,Family,2023,70.0,English,South Korea,,,,,False,2022-12-14,False
session_000065,user_00162,movie_0926,2025-03-10,Desktop,51.2,61.2,stopped,HD,USA,False,3.0,joycesmith@example.org,Brandon,Reyes,35.0,Male,USA,Tennessee,Port Austin,Basic,2023-04-05,False,17.7,Laptop,5.0,2023-11-02 04:06:30.761492,Family Queen,Movie,Sci-Fi,Action,2024,125.0,Spanish,USA,,10714224.0,,,False,2024-05-02,False
session_000069,user_09468,movie_0228,2025-10-11,Laptop,18.4,69.9,started,4K,USA,False,TV-G,mcox@example.org,Laurie,Young,37.0,Female,USA,North Carolina,Gomezshire,Basic,2022-09-27,False,13.76,Smart TV,2.0,2023-04-22 01:11:07.403510,City Family,Movie,Family,,2015,144.0,Korean,UK,951503.0,8854233.0,,,False,2023-06-04,True
session_000069,user_09468,movie_0228,2025-10-11,Laptop,18.4,69.9,started,4K,USA,False,TV-G,mcox@example.org,Laurie,Young,37.0,Female,USA,North Carolina,Gomezshire,Basic,2022-09-27,False,13.76,Smart TV,2.0,2023-04-22 01:11:07.403510,City Family,Movie,Family,,2015,144.0,Korean,UK,951503.0,8854233.0,,,False,2023-06-04,True
session_000075,user_07917,movie_0463,2025-04-18,Laptop,172.3,2.6,stopped,HD,USA,True,TV-14,johnsonaaron@example.com,Christopher,Schmidt,33.0,Female,USA,Wisconsin,Port Paulside,Premium,2024-02-12,False,9.94,Desktop,3.0,2022-08-14 18:20:11.730437,Phoenix Day,TV Series,Comedy,,2007,28.0,English,USA,,,13.0,166.0,False,2022-11-14,False
session_000078,user_09269,movie_0856,2025-06-21,Smart TV,107.6,18.2,paused,4K,Canada,False,R,jeremyzimmerman@example.org,Tyrone,Anderson,28.0,Female,USA,Arizona,Susanside,Standard,2022-10-19,True,22.41,Laptop,3.0,2025-04-13 08:28:23.724745,Big King,Movie,Fantasy,,2017,76.0,English,South Korea,37318670.0,,,,False,2022-06-13,True
session_000079,user_04888,movie_0061,2024-04-07,Tablet,89.0,49.3,started,4K,Canada,False,TV-MA,dvaughn@example.net,Joshua,Salazar,52.0,Female,USA,Illinois,Brandonview,Basic,2024-06-14,True,35.07,Laptop,2.0,2023-10-24 22:09:04.726782,Journey Night,Movie,Drama,,2017,100.0,English,UK,11264097.0,,,,False,2021-11-25,False
session_000080,user_04860,movie_0934,2025-12-06,Desktop,51.7,32.3,completed,HD,USA,False,TV-G,patelandrea@example.org,Nathan,Maynard,30.0,Female,USA,Florida,North Albertville,Standard,2025-05-26,True,1.99,Tablet,2.0,2025-07-29 01:22:42.670214,Kingdom House,TV Series,Comedy,,2018,23.0,English,Canada,,,2.0,22.0,True,2021-03-02,True
session_000081,user_06332,movie_0695,2025-12-02,Tablet,45.2,64.0,started,HD,Canada,False,PG,michael42@example.net,Kimberly,Stephens,35.0,Male,Canada,Ontario,South Carla,Standard,2023-09-21,True,28.2,Desktop,6.0,2024-10-08 14:31:42.153754,Storm Journey,TV Series,Mystery,,2013,52.0,Korean,India,,,10.0,89.0,False,2021-02-15,False
session_000083,user_08685,movie_0466,2024-03-30,Smart TV,12.3,80.1,stopped,4K,USA,False,4.0,hammondwilliam@example.com,David,Owens,35.0,Male,USA,Georgia,Christinafort,Premium,2022-12-10,True,27.34,Smart TV,3.0,2022-09-12 13:53:09.921849,Ice Secret,Movie,Horror,,2011,132.0,English,USA,6517048.0,,,,False,2021-06-26,False
session_000087,user_00065,movie_0020,2024-09-11,Laptop,10.6,50.1,stopped,HD,USA,False,PG-13,mcguiredanny@example.net,Russell,Gutierrez,38.0,Female,USA,Pennsylvania,Perryville,Basic,2023-11-12,True,3.95,Desktop,3.0,2023-09-17 04:47:27.743255,An Mystery,TV Series,Fantasy,,2009,41.0,English,Canada,,,14.0,168.0,False,2022-08-21,False
session_000088,user_08007,movie_0566,2024-02-25,Tablet,7.0,67.6,stopped,HD,USA,False,TV-Y,contrerasgina@example.net,Brandi,Lee,42.0,Female,Canada,British Columbia,Lake Joseph,Premium,2022-09-27,True,4.82,Desktop,,2024-07-15 11:17:49.681386,A City,Movie,History,Mystery,2022,110.0,Hindi,USA,,124803650.0,,,False,2024-10-11,False
session_000091,user_02028,movie_0382,2024-08-17,Tablet,19.3,78.5,paused,4K,USA,False,TV-G,vbennett@example.org,Sheila,Moreno,61.0,Female,USA,Maryland,Port Michelle,Basic,2022-12-04,True,2.86,Laptop,,2023-07-11 14:38:50.576348,Love Empire,Documentary,War,War,2012,66.0,English,Canada,,,,,False,2021-10-10,True
session_000094,user_05259,movie_0995,2024-05-11,Mobile,32.9,47.6,stopped,HD,USA,False,4.0,gregoryfuentes@example.com,Joseph,Garner,7.0,Female,USA,Wisconsin,Wigginsborough,Standard,2024-02-20,True,11.8,Laptop,3.0,2023-08-03 22:14:06.571783,Big Day,Movie,Horror,,2024,185.0,Japanese,South Korea,436936.0,25050655.0,,,False,2024-01-13,False
session_000098,user_05893,movie_0777,2025-06-21,Smart TV,80.7,36.6,stopped,HD,USA,False,TV-Y,daviscameron@example.org,Maxwell,Brown,38.0,Female,Canada,Alberta,Kimberlyton,Standard,2024-04-03,True,7.32,Mobile,2.0,2024-10-14 07:10:52.578813,House Dragon,Movie,Comedy,Drama,2018,73.0,English,USA,,,,,True,2023-11-30,False
session_000099,user_03562,movie_0630,2025-12-02,Desktop,88.5,12.9,stopped,HD,Canada,False,TV-G,rgeorge@example.org,Rhonda,Hahn,50.0,Other,USA,Ohio,East Rogerton,Premium+,2023-12-28,False,6.28,Desktop,,2023-11-25 13:03:07.713898,War Secret,Documentary,Sport,War,2024,56.0,Japanese,USA,,,,,True,2024-04-15,False
